domain,provider,comparison_type,condition_a,condition_b,condition_a_display,condition_b_display,n_sims_a,successes_a,rate_a,wilson_ci_a,n_sims_b,successes_b,rate_b,wilson_ci_b,delta_pp,delta_ci_lo_pp,delta_ci_hi_pp,wilson_ci_overlap,fisher_p,n_paired_tasks,permutation_p,fisher_p_adj,permutation_p_adj,fisher_sig,permutation_sig
retail,gemini,voice_pairwise,control,control_audio,Control (Clean),Control (Audio),228,96,0.42105263157894735,"[35.9%, 48.6%]",228,86,0.37719298245614036,"[31.7%, 44.2%]",-4.3859649122806985,-11.403508771929824,3.508771929824561,True,0.3894725619542288,114,0.30015,1.0,0.93916,False,False
retail,gemini,voice_pairwise,control,control_accents,Control (Clean),Control (Accents),228,96,0.42105263157894735,"[35.9%, 48.6%]",228,102,0.4473684210526316,"[38.4%, 51.2%]",2.631578947368424,-5.263157894736842,11.403508771929824,True,0.6366935512813197,114,0.60451,1.0,1.0,False,False
retail,gemini,voice_pairwise,control,control_behavior,Control (Clean),Control (Behavior),228,96,0.42105263157894735,"[35.9%, 48.6%]",228,85,0.37280701754385964,"[31.3%, 43.7%]",-4.8245614035087705,-11.842105263157894,2.631578947368421,True,0.3385055340602931,114,0.23479,1.0,0.93916,False,False
retail,gemini,voice_pairwise,control,regular,Control (Clean),Regular (Realistic),228,96,0.42105263157894735,"[35.9%, 48.6%]",228,66,0.2894736842105263,"[23.4%, 35.1%]",-13.157894736842103,-21.052631578947366,-4.385964912280701,False,0.004474360182433062,114,0.00293,0.04026924164189756,0.026369999999999998,True,True
retail,gemini,voice_pairwise,control_audio,control_accents,Control (Audio),Control (Accents),228,86,0.37719298245614036,"[31.7%, 44.2%]",228,102,0.4473684210526316,"[38.4%, 51.2%]",7.017543859649122,-0.0,14.912280701754385,True,0.15349007338698598,114,0.09389,0.7674503669349299,0.46945000000000003,False,False
retail,gemini,voice_pairwise,control_audio,control_behavior,Control (Audio),Control (Behavior),228,86,0.37719298245614036,"[31.7%, 44.2%]",228,85,0.37280701754385964,"[31.3%, 43.7%]",-0.43859649122807154,-7.456140350877193,7.456140350877193,True,1.0,114,1.0,1.0,1.0,False,False
retail,gemini,voice_pairwise,control_audio,regular,Control (Audio),Regular (Realistic),228,86,0.37719298245614036,"[31.7%, 44.2%]",228,66,0.2894736842105263,"[23.4%, 35.1%]",-8.771929824561402,-17.105263157894736,-0.0,True,0.058920868941040726,114,0.05645,0.4713669515283258,0.4516,False,False
retail,gemini,voice_pairwise,control_accents,control_behavior,Control (Accents),Control (Behavior),228,102,0.4473684210526316,"[38.4%, 51.2%]",228,85,0.37280701754385964,"[31.3%, 43.7%]",-7.4561403508771935,-14.473684210526317,0.8771929824561403,True,0.12756292170812034,114,0.07387,0.765377530248722,0.4516,False,False
retail,gemini,voice_pairwise,control_accents,regular,Control (Accents),Regular (Realistic),228,102,0.4473684210526316,"[38.4%, 51.2%]",228,66,0.2894736842105263,"[23.4%, 35.1%]",-15.789473684210526,-22.807017543859647,-8.333333333333332,False,0.0006582022676107995,114,0.00014,0.006582022676107995,0.0013999999999999998,True,True
retail,gemini,voice_pairwise,control_behavior,regular,Control (Behavior),Regular (Realistic),228,85,0.37280701754385964,"[31.3%, 43.7%]",228,66,0.2894736842105263,"[23.4%, 35.1%]",-8.333333333333332,-16.228070175438596,0.43859649122807015,True,0.07310434885203212,114,0.06293,0.5117304419642249,0.4516,False,False
retail,openai,voice_pairwise,control,control_audio,Control (Clean),Control (Audio),228,154,0.6754385964912281,"[61.2%, 73.3%]",228,137,0.6008771929824561,"[53.6%, 66.2%]",-7.4561403508771935,-14.912280701754385,0.8771929824561403,True,0.11881144962048354,114,0.07958,0.47524579848193416,0.31832,False,False
retail,openai,voice_pairwise,control,control_accents,Control (Clean),Control (Accents),228,154,0.6754385964912281,"[61.2%, 73.3%]",228,147,0.6447368421052632,"[58.1%, 70.4%]",-3.0701754385964897,-10.087719298245613,4.824561403508771,True,0.5531327557059232,114,0.49558,1.0,0.86292,False,False
retail,openai,voice_pairwise,control,control_behavior,Control (Clean),Control (Behavior),228,154,0.6754385964912281,"[61.2%, 73.3%]",228,128,0.5614035087719298,"[49.7%, 62.4%]",-11.403508771929827,-17.543859649122805,-4.385964912280701,True,0.015836365439225845,114,0.00211,0.09501819263535508,0.01309,False,True
retail,openai,voice_pairwise,control,regular,Control (Clean),Regular (Realistic),228,154,0.6754385964912281,"[61.2%, 73.3%]",228,98,0.4298245614035088,"[36.7%, 49.5%]",-24.561403508771928,-31.57894736842105,-16.228070175438596,False,1.9279845447444688e-07,114,0.0,1.927984544744469e-06,0.0,True,True
retail,openai,voice_pairwise,control_audio,control_accents,Control (Audio),Control (Accents),228,137,0.6008771929824561,"[53.6%, 66.2%]",228,147,0.6447368421052632,"[58.1%, 70.4%]",4.385964912280704,-2.631578947368421,11.842105263157894,True,0.3845671631494865,114,0.28764,1.0,0.86292,False,False
retail,openai,voice_pairwise,control_audio,control_behavior,Control (Audio),Control (Behavior),228,137,0.6008771929824561,"[53.6%, 66.2%]",228,128,0.5614035087719298,"[49.7%, 62.4%]",-3.9473684210526327,-10.526315789473683,3.508771929824561,True,0.4476932961415383,114,0.33681,1.0,0.86292,False,False
retail,openai,voice_pairwise,control_audio,regular,Control (Audio),Regular (Realistic),228,137,0.6008771929824561,"[53.6%, 66.2%]",228,98,0.4298245614035088,"[36.7%, 49.5%]",-17.105263157894733,-24.12280701754386,-8.771929824561402,False,0.00035916529615608945,114,3e-05,0.0028733223692487156,0.00024,True,True
